DISTRICT,TEH_NAME,BLOCK_NAME,LAT,LON,SITE_NAME,YEAR_OBS,TOTAL_RAINFALL,RAINFALL,GRDWTR,SOIL_TYPE,Soil_Score,Elevation,Region_Score,Indexing1,catchment1,Indexing2,catchment2
Ahmadnagar,Ahmednagar,Akola,19.525,73.925,Rajur,1998,940.414,26,2.9725,Black,5,649,,343.4175,0,4105.0735,0
Ahmadnagar,Bhingar,Jamkhed,18.73333333,75.31666667,Jamkhed,1998,940.414,20,3.975,Black,5,650,,346.925,0,4108.581,0
Ahmadnagar,Deolali Pravara,Karjat,18.64444444,74.89666667,Bhitkewadi,1998,940.414,21,3.725,Black,5,515,,278.675,0,4040.331,0
Ahmadnagar,Deolali Pravara,Karjat,18.51666667,74.98333333,Kolwadi,1998,940.414,16,6.8125,Black,5,515,,287.9375,0,4049.5935,0
Ahmadnagar,Deolali Pravara,Karjat,18.63333333,75.1,Pategaon,1998,940.414,18,2.475,Black,5,515,,274.925,0,4036.581,0
Ahmadnagar,Deolali Pravara,Karjat,18.43333333,74.93333333,Rassin,1998,940.414,22,7.6,Black,5,515,,290.3,0,4051.956,0
Ahmadnagar,Deolali Pravara,Karjat,18.63333333,74.88333333,Walvad,1998,940.414,17,3.9125,Black,5,515,,279.2375,0,4040.8935,0
Ahmadnagar,Ghulewadi,Kopargaon,19.89444444,74.35694444,Kolpewadi,1998,940.414,24,2.75,Black,5,509,,272.75,0,4034.406,0
Ahmadnagar,Ghulewadi,Kopargaon,19.95,74.28333333,Manjur,1998,940.414,18,6.5725,Black,5,509,,284.2175,0,4045.8735,0
Ahmadnagar,Ghulewadi,Rahata,19.71666667,74.48333333,Rahata,1998,940.414,26,9.025,Black,5,509,,291.575,0,4053.231,0
Ahmadnagar,Jamkhed,Nagar,19,74.63333333,Chas,1998,940.414,24,2.5125,Black,5,596,,315.5375,0,4077.1935,0
Ahmadnagar,Jamkhed,Nagar,19.00138889,74.91666667,Chinchandi Patil,1998,940.414,23,1.2125,Black,5,596,,311.6375,0,4073.2935,0
Ahmadnagar,Jamkhed,Nagar,18.9625,74.80694444,Dahigaon,1998,940.414,26,3.245,Black,5,596,,317.735,0,4079.391,0
Ahmadnagar,Jamkhed,Nagar,19.23333333,74.66666667,Dehre,1998,940.414,24,1.0375,Black,5,596,,311.1125,0,4072.7685,0
Ahmadnagar,Jamkhed,Nagar,19.10555556,74.63055556,Jakhangaon,1998,940.414,19,11.9125,Black,5,596,,343.7375,0,4105.3935,0
Ahmadnagar,Jamkhed,Nagar,19.2125,74.80555556,Jeur,1998,940.414,18,8.4625,Black,5,596,,333.3875,0,4095.0435,0
Ahmadnagar,Jamkhed,Nagar,19.125,74.725,Savedi-1,1998,940.414,24,2.6675,Black,5,596,,316.0025,0,4077.6585,0
Ahmadnagar,Jamkhed,Nagar,19.03333333,74.83333333,Takle-Kazi,1998,940.414,21,7.075,Black,5,596,,329.225,0,4090.881,0
Ahmadnagar,Kopargaon,Nevasa,19.34722222,74.88194444,Ghodegaon,1998,940.414,16,5.5625,Black,5,515,,284.1875,0,4045.8435,0
Ahmadnagar,Kopargaon,Nevasa,19.55416667,74.98194444,Khadka,1998,940.414,16,1.175,Black,5,515,,271.025,0,4032.681,0
Ahmadnagar,Kopargaon,Nevasa,19.43333333,75.06666667,Kokona,1998,940.414,23,8.55,Black,5,515,,293.15,0,4054.806,0
Ahmadnagar,Kopargaon,Nevasa,19.55,75.1125,Shirasgaon,1998,940.414,17,2.27,Black,5,515,,274.31,0,4035.966,0
Ahmadnagar,Kopargaon,Nevasa,19.39583333,74.82083333,Sonai,1998,940.414,25,2.145,Black,5,515,,273.935,0,4035.591,0
Ahmadnagar,Kopargaon,Nevasa,19.43333333,74.9,Vadala Bhairoba,1998,940.414,19,4.245,Black,5,515,,280.235,0,4041.891,0
Ahmadnagar,Nagapur,Parner,18.95972222,74.53888889,Supe,1998,940.414,19,3.475,Black,5,469,,254.925,0,4016.581,0
Ahmadnagar,Nagardeole,Pathardi,19.16666667,75.18638889,Pathardi,1998,940.414,17,1.925,Black,5,650,,340.775,0,4102.431,0
Ahmadnagar,Pathardi,Rahuri,19.28888889,74.7375,Bambori,1998,940.414,18,5.75,Black,5,550,,302.25,0,4063.906,0
Ahmadnagar,Pathardi,Rahuri,19.475,74.62083333,Devlali,1998,940.414,25,2.705,Black,5,550,,293.115,0,4054.771,0
Ahmadnagar,Pathardi,Rahuri,19.38333333,74.58194444,Malharwadi-1,1998,940.414,16,4.4625,Black,5,550,,298.3875,0,4060.0435,0
Ahmadnagar,Pathardi,Rahuri,19.38888889,74.65833333,Rahuri,1998,940.414,25,8.7,Black,5,550,,311.1,0,4072.756,0
Ahmadnagar,Rahta Pimplas,Sangamner,19.35,74.175,Ambi Khalsa-2,1998,940.414,940,7.0375,Black,5,509,,285.6125,0,4047.2685,0
Ahmadnagar,Rahta Pimplas,Sangamner,19.27777778,74.22777778,Bote,1998,940.414,26,4.7825,Black,5,509,,278.8475,0,4040.5035,0
Ahmadnagar,Rahta Pimplas,Sangamner,19.48333333,74.2,Chandanapuri,1998,940.414,17,12.6175,Black,5,509,,302.3525,0,4064.0085,0
Ahmadnagar,Rahta Pimplas,Sangamner,19.59166667,74.3,Kokangaon,1998,940.414,17,7.785,Black,5,509,,287.855,0,4049.511,0
Ahmadnagar,Rahta Pimplas,Sangamner,19.56666667,74.22083333,Sangamner,1998,940.414,24,8.9875,Black,5,509,,291.4625,0,4053.1185,0
Ahmadnagar,Rahta Pimplas,Sangamner,19.51666667,74.25277778,Tambhol,1998,940.414,24,5.1,Black,5,509,,279.8,0,4041.456,0
Ahmadnagar,Rahuri,Shevgaon,19.4,75.3,Ghotan,1998,940.414,20,4.6,Black,5,526,,286.8,0,4048.456,0
Ahmadnagar,Rahuri,Shevgaon,19.35555556,75.31666667,Rakshi,1998,940.414,23,0.6875,Black,5,526,,275.0625,0,4036.7185,0
Ahmadnagar,Sangamner,Shrigonda,18.83333333,74.86666667,Banpimpri,1998,940.414,17,6.2625,Black,5,571,,314.2875,0,4075.9435,0
Ahmadnagar,Sangamner,Shrigonda,18.86666667,74.71666667,Chikhale,1998,940.414,23,3.975,Black,5,571,,307.425,0,4069.081,0
Ahmadnagar,Sangamner,Shrigonda,18.61666667,74.71666667,Shrigonda,1998,940.414,17,8.4375,Black,5,571,,320.8125,0,4082.4685,0
Ahmadnagar,Sangamner,Shrigonda,18.61666667,74.61666667,Vadegaon Madhe,1998,940.414,26,3.2,Black,5,571,,305.1,0,4066.756,0
Ahmadnagar,Shirdi,Rahata,19.6,74.50833333,Babhuleshwar,1998,940.414,17,3.4125,Black,5,504,,272.2375,0,4033.8935,0
Ahmadnagar,Shirdi,Rahata,19.62083333,74.5875,Nandur,1998,940.414,26,1.425,Black,5,504,,266.275,0,4027.931,0
Ahmadnagar,Shirdi,Shrirampur,19.62916667,74.65833333,Srirampur,1998,940.414,24,2.575,Black,5,504,,269.725,0,4031.381,0
Akola,Akot,Akola,20.73666667,77.00722222,Akola,1998,866.096,34,13.7425,Black,5,306,,204.2275,0,3668.6115,0
Akola,Akot,Akola,20.73333333,77.12777778,Borgaon Manju,1998,866.096,33,3.1125,Black,5,306,,172.3375,0,3636.7215,0
Akola,Akot,Akola,20.58333333,76.96666667,Kapsi,1998,866.096,36,2.725,Black,5,306,,171.175,0,3635.559,0
Akola,Akot,Akola,20.71666667,77.26666667,Kurankhed,1998,866.096,34,9.305,Black,5,306,,190.915,0,3655.299,0
Akola,Akot,Akola,20.7,77.01944444,Shivani,1998,866.096,31,2.34,Black,5,306,,170.02,0,3634.404,0
Akola,Akot,Akola,20.84222222,77.00833333,Vallabh Nagar,1998,866.096,38,5.2,Black,5,306,,178.6,0,3642.984,0
Akola,Akot,Akola,20.83916667,77,Vallabhnagar_Akot,1998,866.096,28,26.205,Black,5,306,,241.615,0,3705.999,0
Akola,Balapur,Akot,21.11666667,77.05,Akot,1998,866.096,32,3.525,Black,5,261,,151.075,0,3615.459,0
Akola,Balapur,Akot,20.98611111,77.02083333,Patsul,1998,866.096,36,7.5375,Black,5,261,,163.1125,0,3627.4965,0
Akola,Balapur,Akot,21.20833333,77.07916667,Popet Kheda,1998,866.096,31,3.05,Black,5,261,,149.65,0,3614.034,0
Akola,Balapur,Akot,21.13333333,77,Umra,1998,866.096,30,2.7375,Black,5,261,,148.7125,0,3613.0965,0
Akola,Malkapur,Barshitakli,20.58333333,77.06666667,Barshi Takli,1998,866.096,32,12.78,Black,5,251,,173.84,0,3638.224,0
Akola,Malkapur,Barshitakli,20.54722222,77.25555556,Pinjar,1998,866.096,33,7.175,Black,5,251,,157.025,0,3621.409,0
Akola,Murtijapur,Murtijapur,20.74305556,77.45138889,Malkapur,1998,866.096,32,8.2,Black,5,301,,185.1,0,3649.484,0
Akola,Murtijapur,Murtijapur,20.73333333,77.36666667,Murtizapur,1998,866.096,38,6.5875,Black,5,301,,180.2625,0,3644.6465,0
Akola,Murtijapur,Murtijapur,20.8075,77.36055556,Rasulpur,1998,866.096,32,8.6425,Black,5,301,,186.4275,0,3650.8115,0
Akola,Patur,Patur,20.46111111,76.775,Chani,1998,866.096,30,2.7375,Black,5,342,,189.2125,0,3653.5965,0
