DISTRICT,TEH_NAME,BLOCK_NAME,LAT,LON,SITE_NAME,YEAR_OBS,TOTAL_RAINFALL,RAINFALL,GRDWTR,SOIL_TYPE,Soil_Score,Elevation,Region_Score,Indexing1,catchment1,Indexing2,catchment2
Ahmadnagar,Ahmednagar,Akola,19.525,73.925,Rajur,1997,953.641,19,2.4125,Black,5,649,,341.7375,0,4156.3015,0
Ahmadnagar,Bhingar,Jamkhed,18.73333333,75.31666667,Jamkhed,1997,953.641,18,5.9575,Black,5,650,,352.8725,0,4167.4365,0
Ahmadnagar,Deolali Pravara,Karjat,18.64444444,74.89666667,Bhitkewadi,1997,953.641,26,7.0275,Black,5,515,,288.5825,0,4103.1465,0
Ahmadnagar,Deolali Pravara,Karjat,18.51666667,74.98333333,Kolwadi,1997,953.641,21,8.75,Black,5,515,,293.75,0,4108.314,0
Ahmadnagar,Deolali Pravara,Karjat,18.63333333,75.1,Pategaon,1997,953.641,16,3.36,Black,5,515,,277.58,0,4092.144,0
Ahmadnagar,Deolali Pravara,Karjat,18.43333333,74.93333333,Rassin,1997,953.641,21,6.3075,Black,5,515,,286.4225,0,4100.9865,0
Ahmadnagar,Deolali Pravara,Karjat,18.63333333,74.88333333,Walvad,1997,953.641,23,3.985,Black,5,515,,279.455,0,4094.019,0
Ahmadnagar,Ghulewadi,Kopargaon,19.89444444,74.35694444,Kolpewadi,1997,953.641,18,3.4175,Black,5,509,,274.7525,0,4089.3165,0
Ahmadnagar,Ghulewadi,Kopargaon,19.95,74.28333333,Manjur,1997,953.641,25,9.65,Black,5,509,,293.45,0,4108.014,0
Ahmadnagar,Ghulewadi,Rahata,19.71666667,74.48333333,Rahata,1997,953.641,21,10.2125,Black,5,509,,295.1375,0,4109.7015,0
Ahmadnagar,Jamkhed,Nagar,19,74.63333333,Chas,1997,953.641,21,7.2125,Black,5,596,,329.6375,0,4144.2015,0
Ahmadnagar,Jamkhed,Nagar,19.00138889,74.91666667,Chinchandi Patil,1997,953.641,17,3.505,Black,5,596,,318.515,0,4133.079,0
Ahmadnagar,Jamkhed,Nagar,18.9625,74.80694444,Dahigaon,1997,953.641,23,4.25,Black,5,596,,320.75,0,4135.314,0
Ahmadnagar,Jamkhed,Nagar,19.23333333,74.66666667,Dehre,1997,953.641,19,2.2625,Black,5,596,,314.7875,0,4129.3515,0
Ahmadnagar,Jamkhed,Nagar,19.10555556,74.63055556,Jakhangaon,1997,953.641,22,12.5625,Black,5,596,,345.6875,0,4160.2515,0
Ahmadnagar,Jamkhed,Nagar,19.2125,74.80555556,Jeur,1997,953.641,17,6.8625,Black,5,596,,328.5875,0,4143.1515,0
Ahmadnagar,Jamkhed,Nagar,19.125,74.725,Savedi-1,1997,953.641,23,2.3425,Black,5,596,,315.0275,0,4129.5915,0
Ahmadnagar,Jamkhed,Nagar,19.03333333,74.83333333,Takle-Kazi,1997,953.641,19,8.4825,Black,5,596,,333.4475,0,4148.0115,0
Ahmadnagar,Kopargaon,Nevasa,19.34722222,74.88194444,Ghodegaon,1997,953.641,19,8.39,Black,5,515,,292.67,0,4107.234,0
Ahmadnagar,Kopargaon,Nevasa,19.55416667,74.98194444,Khadka,1997,953.641,18,1.8075,Black,5,515,,272.9225,0,4087.4865,0
Ahmadnagar,Kopargaon,Nevasa,19.43333333,75.06666667,Kokona,1997,953.641,25,4.6375,Black,5,515,,281.4125,0,4095.9765,0
Ahmadnagar,Kopargaon,Nevasa,19.55,75.1125,Shirasgaon,1997,953.641,16,5.5,Black,5,515,,284,0,4098.564,0
Ahmadnagar,Kopargaon,Nevasa,19.39583333,74.82083333,Sonai,1997,953.641,18,3.145,Black,5,515,,276.935,0,4091.499,0
Ahmadnagar,Kopargaon,Nevasa,19.43333333,74.9,Vadala Bhairoba,1997,953.641,24,5.2125,Black,5,515,,283.1375,0,4097.7015,0
Ahmadnagar,Nagapur,Parner,18.95972222,74.53888889,Supe,1997,953.641,26,4.665,Black,5,469,,258.495,0,4073.059,0
Ahmadnagar,Nagardeole,Pathardi,19.16666667,75.18638889,Pathardi,1997,953.641,21,3.5175,Black,5,650,,345.5525,0,4160.1165,0
Ahmadnagar,Pathardi,Rahuri,19.28888889,74.7375,Bambori,1997,953.641,21,6.32,Black,5,550,,303.96,0,4118.524,0
Ahmadnagar,Pathardi,Rahuri,19.475,74.62083333,Devlali,1997,953.641,18,2.95,Black,5,550,,293.85,0,4108.414,0
Ahmadnagar,Pathardi,Rahuri,19.38333333,74.58194444,Malharwadi-1,1997,953.641,21,8.7625,Black,5,550,,311.2875,0,4125.8515,0
Ahmadnagar,Pathardi,Rahuri,19.38888889,74.65833333,Rahuri,1997,953.641,26,10.5475,Black,5,550,,316.6425,0,4131.2065,0
Ahmadnagar,Rahta Pimplas,Sangamner,19.35,74.175,Ambi Khalsa-2,1997,953.641,21,9.66,Black,5,509,,293.48,0,4108.044,0
Ahmadnagar,Rahta Pimplas,Sangamner,19.27777778,74.22777778,Bote,1997,953.641,19,5.045,Black,5,509,,279.635,0,4094.199,0
Ahmadnagar,Rahta Pimplas,Sangamner,19.48333333,74.2,Chandanapuri,1997,953.641,20,16.9375,Black,5,509,,315.3125,0,4129.8765,0
Ahmadnagar,Rahta Pimplas,Sangamner,19.59166667,74.3,Kokangaon,1997,953.641,16,9.5025,Black,5,509,,293.0075,0,4107.5715,0
Ahmadnagar,Rahta Pimplas,Sangamner,19.56666667,74.22083333,Sangamner,1997,953.641,26,10.0575,Black,5,509,,294.6725,0,4109.2365,0
Ahmadnagar,Rahta Pimplas,Sangamner,19.51666667,74.25277778,Tambhol,1997,953.641,23,5.67,Black,5,509,,281.51,0,4096.074,0
Ahmadnagar,Rahuri,Shevgaon,19.4,75.3,Ghotan,1997,953.641,18,8.65,Black,5,526,,298.95,0,4113.514,0
Ahmadnagar,Rahuri,Shevgaon,19.35555556,75.31666667,Rakshi,1997,953.641,16,1.125,Black,5,526,,276.375,0,4090.939,0
Ahmadnagar,Sangamner,Shrigonda,18.83333333,74.86666667,Banpimpri,1997,953.641,23,6.58,Black,5,571,,315.24,0,4129.804,0
Ahmadnagar,Sangamner,Shrigonda,18.86666667,74.71666667,Chikhale,1997,953.641,26,8.43,Black,5,571,,320.79,0,4135.354,0
Ahmadnagar,Sangamner,Shrigonda,18.61666667,74.71666667,Shrigonda,1997,953.641,26,11.4875,Black,5,571,,329.9625,0,4144.5265,0
Ahmadnagar,Sangamner,Shrigonda,18.61666667,74.61666667,Vadegaon Madhe,1997,953.641,16,3.075,Black,5,571,,304.725,0,4119.289,0
Ahmadnagar,Shirdi,Rahata,19.6,74.50833333,Babhuleshwar,1997,953.641,22,5.255,Black,5,504,,277.765,0,4092.329,0
Ahmadnagar,Shirdi,Rahata,19.62083333,74.5875,Nandur,1997,953.641,24,1.2,Black,5,504,,265.6,0,4080.164,0
Ahmadnagar,Shirdi,Shrirampur,19.62916667,74.65833333,Srirampur,1997,953.641,25,4.0125,Black,5,504,,274.0375,0,4088.6015,0
Akola,Akot,Akola,20.73666667,77.00722222,Akola,1997,793.512,25,12.65,Black,5,306,,200.95,0,3374.998,0
Akola,Akot,Akola,20.73333333,77.12777778,Borgaon Manju,1997,793.512,30,4.0575,Black,5,306,,175.1725,0,3349.2205,0
Akola,Akot,Akola,20.58333333,76.96666667,Kapsi,1997,793.512,29,6.4625,Black,5,306,,182.3875,0,3356.4355,0
Akola,Akot,Akola,20.71666667,77.26666667,Kurankhed,1997,793.512,35,8.7375,Black,5,306,,189.2125,0,3363.2605,0
Akola,Akot,Akola,20.7,77.01944444,Shivani,1997,793.512,32,3.28,Black,5,306,,172.84,0,3346.888,0
Akola,Akot,Akola,20.83916667,77,Vallabhnagar_Akot,1997,793.512,35,24.2875,Black,5,306,,235.8625,0,3409.9105,0
Akola,Balapur,Akot,20.98611111,77.02083333,Patsul,1997,793.512,30,8.8125,Black,5,261,,166.9375,0,3340.9855,0
Akola,Balapur,Akot,21.20833333,77.07916667,Popet Kheda,1997,793.512,30,3.45,Black,5,261,,150.85,0,3324.898,0
Akola,Balapur,Akot,21.13333333,77,Umra,1997,793.512,35,9.4275,Black,5,261,,168.7825,0,3342.8305,0
Akola,Malkapur,Barshitakli,20.58333333,77.06666667,Barshi Takli,1997,793.512,28,16.77,Black,5,251,,185.81,0,3359.858,0
